course_title,url,is_paid,price,num_subscibers,num_reviews,num_lectures,level,content_duration,subject,published_date,year,month,day
DSA USING JAVA,https://www.codingninjas.com/java-data-structures-and-algorithms-course,TRUE,42000,322,222,20,ALL LEVEL,6 months,DSA,2023-03-07,2023,3,7
DSA USING JAVA,https://onlinecourses.nptel.ac.in/noc22_cs92/preview,TRUE,42000,200,234,15,ALL LEVEL,6 months,DSA,2022-05-07,2022,5,7
DSA USING JAVA,https://www.javatpoint.com/data-structure-tutorial,TRUE,42000,222,124,15,ALL LEVEL,6 months,DSA,2016-01-08,2016,1,8
DSA USING JAVA,https://pwskills.com/course/decode-javadsa/,TRUE,42000,344,432,20,ALL LEVEL,6 months,DSA,2015-02-05,2015,2,5
DSA USING JAVA,https://www.kgcoding.in/courses/DSA-using-Java-6528e4fce4b020516b5330e9,TRUE,42000,200,333,20,ALL LEVEL,6 months,DSA,2012-05-01,2012,5,1
DSA USING JAVA,https://www.javaguides.net/p/data-structures-and-algorithms-in-java.html?m=1,TRUE,42000,322,333,15,ALL LEVEL,7 months                ,DSA,2022-02-05,2022,2,5
DSA USING JAVA,https://www.scaler.com/topics/course/dsa-interviews-java/,TRUE,42000,190,332,15,ALL LEVEL,6 months,DSA,2023-03-04,2023,3,4
INTRODUCTION TO JAVA,https://www.coursera.org/learn/java-introduction,FALSE,0,89066,1779,3,BEGINNER,11:00:00,JAVA,2021-08-22,2021,8,22
JAVA PROGRAMMING SOLVING PROBLEMS WITH SOFTWARE,https://www.coursera.org/learn/java-programming?specialization=java-programming,FALSE,0,375320,7858,5,BEGINNER,17:00:00,JAVA,2020-03-19,2020,3,19
"JAVA PROGRAMMING :ARRAYS,LISTS,STRUCTURED DATA",https://www.coursera.org/learn/java-programming-arrays-lists-data?specialization=java-programming,FALSE,0,156858,3125,5,BEGINNER,14:00:00,JAVA,2019-03-19,2019,3,19
JAVA PROGRAMMING :PRINCIPLES OF SOFTWARE DESIGN,https://www.coursera.org/learn/java-programming-design-principles?specialization=java-programming,FALSE,0,106618,1475,5,BEGINNER,12:00:00,JAVA,2019-09-17,2019,9,17
JAVA PROGRAMMING :BUILD A RECOMMENDATION SYSTEM,https://www.coursera.org/learn/java-programming-recommender?specialization=java-programming,FALSE,0,29690,635,5,INTERMEDIATE,04:00:00,JAVA,2018-12-08,2018,12,8
INTRODUCTION TO OBJECT ORIENTED PROGRAMMING WITH JAVA,https://www.coursera.org/learn/object-oriented-programming-with-java?specialization=core-java,FALSE,0,34061,434,4,BEGINNER,17:00:00,JAVA,2020-08-11,2020,8,11
OBJECT ORIENTED HIERACHIES IN JAVA,https://www.coursera.org/learn/object-oriented-hierarchies-java?specialization=core-java,FALSE,0,15446,160,6,INTERMEDIATE,20:00:00,JAVA,2019-05-13,2019,5,13
JAVA CLASS LIBRARY,https://www.coursera.org/learn/java-class-library?specialization=core-java,FALSE,0,15106,133,7,INTERMEDIATE,29:00:00,JAVA,2017-09-16,2017,9,16
LEARN JAVA PROGRAMMING,https://www.udemy.com/course/learn-java-programming-a/,TRUE,499,83236,2539,134,INTERMEDIATE,14:00:00,JAVA,2018-09-19,2018,9,19
JAVA TUTORIAL FOR COMPLETE BEGINNERS,https://www.udemy.com/course/java-tutorial/,TRUE,499,1886367,99935,67,INTERMEDIATE,16:00:00,JAVA,2019-09-18,2019,9,18
ADVANCED DATA STRUCTURES IN JAVA,https://www.coursera.org/learn/advanced-data-structures,FALSE,0,79873,1235,6,INTERMEDIATE,28:00:00,JAVA DSA,2023-05-22,2023,5,22
DATA STRUCTURES AND ALGORITHMS IN JAVA,https://www.udemy.com/course/data-structures-and-algorithms-in-java/?couponCode=ST6MT42324,TRUE,499,3483,714,149,INTERMEDIATE,10:00:00,JAVA DSA,2024-03-22,2024,3,22
JAVA DATA STRUCTURES AND ALGORITHMS MASTERCLASS,https://www.udemy.com/course/java-data-structures-and-algorithms-masterclass/?couponCode=ST6MT42324,TRUE,599,49009,5633,442,INTERMEDIATE,46:00:00,JAVA DSA,2024-04-26,2024,4,26
DATA STRUCTURES AND ALGORITHMS COURSE USING JAVA,https://www.knowledgehut.com/programming/data-structure-and-algorithms-course-using-java,TRUE,699,23685,1345,15,INTERMEDIATE,08:00:00,JAVA DSA,,,,
INTRODUCTION TO STRUCTURED QUERY LANGUAGE,https://www.coursera.org/learn/intro-sql,FALSE,0,216547,5295,4,INTERMEDIATE,15:00:00,SQL,2019-11-29,2019,11,29
THE STRUCTURED QUERY LANGUAGE,https://www.coursera.org/learn/the-structured-query-language-sql,FALSE,0,44868,610,6,BEGINNER,26:00:00,SQL,2020-12-26,2020,12,26
SQL FOR DATA SCIENCE,https://www.coursera.org/learn/sql-for-data-science?specialization=learn-sql-basics-data-science,FALSE,0,595433,16055,4,BEGINNER,15:00:00,SQL,2024-11-12,2024,11,12
